t,S,I,R,D
188,0.994535156767432,0.0910869361593941,0.0870153568000714,0.186733958183129
189,0.994459372127469,0.0923500996882234,0.0882625387826165,0.188372550304778
190,0.994397877387838,0.0933750819584387,0.0892753509966295,0.189683424002097
191,0.994333492556006,0.0944482357191602,0.0903383853038995,0.190994297699417
192,0.994265414828581,0.095582941939973,0.0914516417044262,0.192632889821066
193,0.994245505304523,0.0959147899856824,0.0917390236825071,0.194009307203251
194,0.994222866248941,0.0962921333279809,0.092090578335305,0.19499246247624
195,0.99415607300694,0.0974054299974576,0.0932094149684159,0.19597561774923
196,0.994083017898502,0.0986230982296977,0.0944482266020848,0.196696598282755
197,0.994020238673448,0.0996694900512491,0.0954917300953104,0.197810840925477
198,0.993952000385346,0.100806872465979,0.0966300975424656,0.198925083568198
199,0.99388633106809,0.101901435778036,0.0977015021986116,0.200563675689847
200,0.993865137058609,0.102254693375082,0.0980112051070289,0.201940093072033
201,0.993845709216584,0.10257851283904,0.0983041673176938,0.202988792029888
202,0.993765589438319,0.103913933603629,0.0996406330215843,0.204299665727207
203,0.99372368310139,0.104612420215969,0.100321421396844,0.205413908369929
204,0.993698796196318,0.105027230273106,0.100720408026607,0.20620043258832
205,0.99364918294685,0.105854174193462,0.101557442914221,0.206790325752114
206,0.993600693622128,0.106662384756399,0.102372156871498,0.207445762600773
207,0.993583031947561,0.106956766087271,0.102623267337783,0.208756636298093
208,0.99356938428994,0.107184242570217,0.102787884199013,0.210460772104608
209,0.993522661132675,0.107963015000067,0.103577487109663,0.210985121583535
210,0.993478185824901,0.108704320715079,0.104291756880427,0.212361538965721
211,0.9934447892039,0.109260969049817,0.104852570255128,0.212820344759782
212,0.993403043427649,0.10995677946824,0.105552889444432,0.213410237923576
213,0.993367880639192,0.110542865936066,0.106133233633178,0.214131218457102
214,0.993354554102927,0.110764990031178,0.106331331889913,0.214917742675493
215,0.993342351491408,0.110968380768871,0.106512689448896,0.215638723209019
216,0.993290811513806,0.111827439016231,0.107388785964599,0.216097529003081
217,0.993251313587046,0.112485782719816,0.108036092944354,0.217015140591204
218,0.993206356597238,0.113235117016579,0.108778263878038,0.217932752179328
219,0.993162362971497,0.11396839414984,0.109514854579139,0.218588189027987
220,0.993113552525419,0.114781957100612,0.11032119818754,0.219571344300977
221,0.993104079445423,0.114939852541715,0.110438383071806,0.220685586943698
