t,S,I,R,D
136,0.997019243403782,0.0682898229128736,0.058641446712693,0.210431617479784
137,0.997002718072687,0.0686684220697017,0.0588871138463612,0.212768597605112
138,0.996987856750626,0.0690088983947659,0.0591131276093359,0.214795359129733
139,0.996944018719528,0.0700132378246849,0.0600550855904294,0.216718714454119
140,0.996906894104186,0.0708637713471426,0.060817355610897,0.218869563419023
141,0.996862367517626,0.0718838857419295,0.0617761593382991,0.220792918743408
142,0.996825013383797,0.0727396775860097,0.0625384293587667,0.2230264926685
143,0.996785765722447,0.0736388505834765,0.0633779090498157,0.224805079312556
144,0.996766486169503,0.074080549599776,0.0637246506613359,0.226645709676752
145,0.996748641107105,0.0744893841059341,0.0640152397851606,0.228796558641656
146,0.99669963891004,0.075612035772362,0.0650989827976854,0.230492420325523
147,0.996650980990705,0.0767267999563559,0.0661630724395167,0.232353731929767
148,0.996605651089438,0.077765318476822,0.0671611829083058,0.233987549893492
149,0.99656955930729,0.0785921895519778,0.0679206453043886,0.235807499017641
150,0.996532033034596,0.0794519251372751,0.0687250296906279,0.237482679461461
151,0.996514417490686,0.0798555013218106,0.069035272185146,0.239261266105516
152,0.996501449696146,0.0801525964934882,0.0692346135164653,0.240998490269477
153,0.996458013322401,0.0811477338605677,0.0701639371878273,0.242963208073956
154,0.996420544429328,0.0820061548654593,0.0709697253862589,0.244597026037681
155,0.996380149175541,0.0829316194710391,0.0718513194430796,0.246168800281265
156,0.996343426217553,0.0837729509306572,0.0726458771439722,0.247699212044754
157,0.996308022990867,0.0845840470409452,0.0734025319156702,0.249312348768432
158,0.996289604132251,0.0850060273511599,0.0737352354052665,0.251049572932393
159,0.996275833023005,0.0853215266485167,0.0739654606048184,0.252621347175977
160,0.99623239664926,0.0863166640155962,0.0749088223981043,0.254379252579985
161,0.996193321126775,0.087211893271846,0.0757595325866924,0.255930345583521
162,0.996151893039794,0.0881610203247277,0.0766692028873609,0.257460757347011
163,0.996118440720252,0.0889274207012235,0.0773640899225938,0.25928070647116
164,0.996082807975079,0.0897437751331341,0.0781446095015624,0.260624987074225
165,0.996066799060581,0.0901105430663114,0.0784422176863491,0.262010630157384
166,0.996054175543772,0.0903997507555551,0.0786317323323217,0.263768535561392
167,0.996011542484733,0.0913764839969554,0.079555440754914,0.2655264409654
168,0.995978032785568,0.0921441989538569,0.0802868269071491,0.266829359088371
169,0.995941424586824,0.0929829012526637,0.081082788420234,0.268297727131719
170,0.995905963980516,0.0937953119433574,0.0818576927504331,0.269662688974831
171,0.995873429734923,0.0945406790333627,0.0825638102832051,0.270986288337849
172,0.995857076542694,0.0949153344489739,0.0828600146557993,0.272516700101338
173,0.995846690831138,0.0951532735023971,0.0830172416213469,0.273943705664592
174,0.995807902206763,0.0960419298566187,0.0838707594343198,0.275350029987798
175,0.995771408767262,0.0968780029946142,0.0846723361961743,0.276694310590863
176,0.995742317298981,0.0975444952602803,0.0852745716267095,0.278307447314541
177,0.995712192997506,0.0982346499732483,0.0859329595449402,0.279465596757182
178,0.995676732391198,0.099047060663942,0.0867064600629469,0.280851239840341
179,0.995662387485734,0.0993757057653553,0.0869816072526553,0.281968026802887
180,0.995649878728169,0.0996622842937877,0.087182352396167,0.283519119806424
181,0.995613270529425,0.100500986592594,0.0879937558433683,0.284759994209253
182,0.995576145914083,0.101351520115052,0.0888248126612629,0.285897462411846
183,0.995544988779415,0.102065337275322,0.0895253149452654,0.286807436973921
184,0.99550866747878,0.1028974666721,0.0903240840827351,0.288131036336939
185,0.995475157779615,0.103665181629002,0.091044239737431,0.289599404380287
186,0.995461501429613,0.103978051765547,0.0912913106832915,0.29088164126321
187,0.995451459995788,0.104208103336537,0.0914639795829555,0.291957065745662
188,0.99541072046427,0.10514145542455,0.0923862841933555,0.293053171468161
189,0.995374399163635,0.105973584821329,0.0931990914527491,0.294169958430707
190,0.995336126955856,0.106850409951899,0.0940540130779144,0.295369470353442
191,0.995302502497448,0.107620754069612,0.0947853992301494,0.296713750956507
192,0.995268648520553,0.108396356508948,0.0955504768750018,0.297644406758629
193,0.995253672439248,0.108739461994823,0.0958382583744416,0.29880255620127
194,0.995243171968448,0.108980030209058,0.0959940815277969,0.300291605484665
195,0.995203350510879,0.109892349010581,0.0968840984577719,0.301532479887494
196,0.995164332368017,0.110786263686425,0.0977755191999394,0.302463135689616
197,0.995131453844693,0.111539518258865,0.0985040977277896,0.303579922652162
198,0.995094960405192,0.11237559139686,0.0993239240481451,0.304655347134614
199,0.995061508085649,0.113141991773356,0.100063733073534,0.305813496577255
200,0.995047048420941,0.11347326603558,0.100330457390089,0.307095733460178
201,0.995035974153923,0.113726980053872,0.100529798721408,0.308150476702583
202,0.994997472427657,0.114609063506065,0.101408585153844,0.309081132504705
203,0.994972799190259,0.115174333080496,0.101937822350375,0.310177238227204
204,0.994961667543619,0.115429361679192,0.102110491250039,0.311645606270552
205,0.994922190363781,0.116333792998282,0.103006123428783,0.31267966827291
