t,S,I,R,D
170,0.995590138094273,0.0574746022195325,0.0544247201031611,0.138763972761146
171,0.995527038210901,0.0582969954768371,0.0552032490931222,0.140755492740588
172,0.995490675566246,0.0587709170149448,0.0556130011931017,0.142939740459977
173,0.995461977596689,0.0591449433268827,0.0558998276630874,0.145637928819221
174,0.995385509093959,0.0601415724437857,0.0568277956542174,0.14846460233843
175,0.995316170521553,0.0610452757689028,0.0576882750641744,0.150520364897854
176,0.995240949756629,0.0620256428722433,0.0586307048941273,0.152511884877297
177,0.995170185198158,0.0629479313557176,0.0594694915458501,0.155659771296415
178,0.99511136327298,0.0637145691379507,0.0601588391964038,0.158486444815624
179,0.995070009677098,0.0642535387303084,0.0606192077322632,0.161120390594886
180,0.995043807183155,0.0645950410151214,0.0609012135893079,0.163047667994347
181,0.994967338680425,0.0655916701320243,0.0618508743386722,0.165296158293717
182,0.994869836883236,0.0668624303346955,0.0630945924774335,0.167287678273159
183,0.994773582823855,0.0681169285238041,0.0643214384709016,0.169279198252602
184,0.994678041757506,0.0693621341337342,0.0655579256902515,0.170756777592188
185,0.994591769600579,0.0704865362143426,0.066642563601962,0.172941025311577
186,0.9945482770256,0.0710533835442362,0.0671463176542897,0.175189515610947
187,0.994519222559527,0.0714320561457634,0.0674548368825096,0.177438005910317
188,0.994442932305055,0.0724263621178717,0.0683828048736397,0.180200436849544
189,0.994355590658579,0.0735647030672481,0.0694794943177025,0.182448927148914
190,0.994273596459847,0.0746333496727851,0.0705038745676513,0.184697417448285
191,0.994189641530276,0.0757275508710631,0.0715595888017161,0.186817422587691
192,0.9941154902549,0.0766939791056357,0.0724827361799053,0.188937427727098
193,0.99408340556844,0.0771121451686719,0.0728466924569459,0.190800462546576
194,0.994059342053595,0.0774257697159491,0.0731142364751678,0.192342284466144
195,0.993980734571767,0.0784502765703878,0.074109693047471,0.19414107670564
196,0.993886441243225,0.0796792201667553,0.0753027947503525,0.196325324425029
197,0.993806229527074,0.0807246353243459,0.0763175337744194,0.198188359244507
198,0.993747407601896,0.0814912731065789,0.0770285741832074,0.200436849543878
199,0.993686624945879,0.0822834654815531,0.0777902310278752,0.202042914043428
200,0.993655075004193,0.0826946621102053,0.0781469563855044,0.203905948862906
201,0.993632615723671,0.0829873783543307,0.0783831664196103,0.205704741102403
202,0.99354384809113,0.0841443044620642,0.0794967280089663,0.208017473981755
203,0.993489304124148,0.0848551867692258,0.0801571519818745,0.210073236541179
204,0.993451693741686,0.085345370320896,0.0806054689853815,0.21167930104073
205,0.993355439682305,0.0865998685100046,0.0818299046723791,0.213735063600154
206,0.993277188696993,0.087619729074854,0.0828301818576232,0.215276885519722
207,0.993236548094143,0.0881494060880332,0.0833218843775986,0.216818707439291
208,0.993205889393747,0.0885489869927123,0.0836761994287574,0.218424771938841
209,0.993110526575657,0.0897918694578477,0.0848909938898731,0.220416291918283
210,0.993018372226212,0.0909929353166795,0.0860744543668727,0.222086598997816
211,0.992934952041415,0.0920801670805736,0.0871157067621148,0.224399331877168
212,0.992852066601392,0.0931604294100838,0.088183472528532,0.225812668636772
213,0.992778450070791,0.0941198882102725,0.0890945683743688,0.228061158936143
214,0.992740483191813,0.094614718051532,0.0895236029261121,0.230309649235513
215,0.992713211208322,0.0949701592051128,0.0898393530737433,0.231722985995118
216,0.992606084005196,0.0963663692266948,0.0912180483748509,0.233586020814596
217,0.992520168344785,0.097486125017714,0.0923099172059727,0.235449055634074
218,0.992451721013669,0.0983782126188579,0.0931703966159297,0.237183605293589
219,0.992382738937779,0.0992772696543858,0.09404774817118,0.238661184633175
220,0.992317856571826,0.100122894359637,0.0948479699193752,0.240716947192599
221,0.992276324727686,0.100664187096789,0.0953348518264097,0.242708467172042
222,0.992248874495936,0.101021951395165,0.0956457813611001,0.244314531671592
223,0.992145312257972,0.102371698520854,0.0969738602263278,0.246241809071052
224,0.992047097467752,0.103651751302703,0.0982320402039119,0.248104843890531
225,0.991944069974562,0.104994528994009,0.0995769912144329,0.249389695490171
226,0.991858867307184,0.106104992205849,0.100661629126143,0.251188487729667
227,0.991769208433353,0.107273534037556,0.101811345312556,0.2528587948092
228,0.9917175164385,0.107947246028003,0.10244525591429,0.254593344468714
229,0.991681510290361,0.108416521276522,0.102855008014269,0.256649107028138
230,0.991556736509682,0.110042722632774,0.104472323655953,0.258512141847617
231,0.991448896313523,0.111448225233534,0.105855839570001,0.260503661827059
232,0.991359237439692,0.112616767065241,0.107015196982296,0.261916998586663
233,0.991268330828054,0.11380157091051,0.108164913168709,0.26403700372607
234,0.991173146258222,0.115042130230851,0.109391759162177,0.26564306822562
235,0.99112038477382,0.115729781090066,0.110028080070381,0.267698830785044
236,0.991086517604778,0.116171178601049,0.110420960025067,0.269433380444559
237,0.990988481062816,0.117448908238104,0.111650216325006,0.272003083643839
238,0.990896683209888,0.118645327807346,0.112790291285537,0.274701272003084
239,0.990796864185344,0.119946288892348,0.114046060956651,0.277206732622382
240,0.990720039186097,0.12094756429884,0.114993311399544,0.279647950661699
241,0.990630380312266,0.122116106130547,0.116126155440664,0.281767955801105
242,0.99058278802735,0.122736385790717,0.11672150113887,0.283052807400745
243,0.990550346844373,0.123159198143343,0.117092688335322,0.284851599640242
244,0.990455875267573,0.124390464884505,0.118285790038203,0.287100089939612
245,0.99036924661413,0.125519513254703,0.119387300095207,0.28896312475909
246,0.990290104387527,0.126550989543525,0.120365884522217,0.291404342798407
247,0.990207040699246,0.12763357501783,0.121397495691577,0.293845560837723
248,0.990128433217419,0.128658081872269,0.122366438892705,0.296351021457022
249,0.990088862104117,0.12917382001668,0.122821986815624,0.298471026596428
250,0.990059451141529,0.129557138907797,0.123154609108548,0.300205576255942
251,0.989972109495053,0.130695479857173,0.1242440676332,0.302646794295259
252,0.9898731817118,0.131984825218201,0.125511888836666,0.304509829114737
253,0.989776749404161,0.133241646552105,0.126726683297781,0.306886804574072
254,0.989671048187099,0.13461927141533,0.128052351856539,0.309649235513298
255,0.989532014545771,0.136431324355153,0.129838388951155,0.312154696132597
256,0.989458041518654,0.137395429444931,0.130773587861697,0.313889245792111
257,0.989406706020317,0.138064495145789,0.131390626318136,0.315945008351535
258,0.989280506253573,0.139709281660398,0.133036865637466,0.317551072851086
259,0.989151098018182,0.141395884781311,0.134690335876207,0.320120776050366
260,0.989041118842926,0.142829265119607,0.136105185774371,0.322048053449827
261,0.988930783171154,0.144267291747493,0.13754413873724,0.323461390209431
262,0.988818665016801,0.145728549823325,0.138999963845403,0.325067454708981
263,0.988752534913041,0.146590436542138,0.13980741651301,0.327380187588334
264,0.988701021166446,0.147261825387791,0.140434096195331,0.329243222407812
265,0.988652894136755,0.147889074482345,0.141000518215891,0.331491712707182
266,0.988545588685371,0.149287607648722,0.142369572291117,0.333675960426571
267,0.988453790832443,0.150484027217964,0.143524109090471,0.335988693305923
268,0.988353258814867,0.151794280882145,0.144816033358642,0.337787485545419
269,0.988250053073419,0.153139381718244,0.146136881304458,0.339779005524862
270,0.988198182830308,0.153815416853486,0.14676838159972,0.34164204034434
271,0.988165206902557,0.154245198640496,0.14712510695735,0.344019015803675
272,0.988067705105369,0.155515958843167,0.148383286934934,0.345625080303225
273,0.987979828714119,0.156661269226927,0.149501669137231,0.347488115122703
274,0.987885891882093,0.157885566533705,0.150709232678935,0.349158422202236
275,0.987790885560519,0.159123802709251,0.151936078672403,0.350700244121804
276,0.987702830921011,0.160271436237806,0.153059281487641,0.3524990363613
277,0.987646504471447,0.161005549992914,0.153765501283488,0.353976615700887
278,0.987617984750149,0.161377253160058,0.15408366173759,0.355775407940383
279,0.987521730690767,0.162631751349166,0.155315328343999,0.357638442759861
280,0.987432606561711,0.163793323746489,0.15645540330453,0.359372992419376
281,0.987357207548529,0.164776013994624,0.157395422828013,0.361492997558782
282,0.987283769266186,0.165733149650018,0.158333032045025,0.362970576898368
283,0.987216747921135,0.166606652092805,0.159169408390277,0.364833611717847
284,0.987176463814802,0.167131682816395,0.15965146968437,0.366503918797379
285,0.987154182782537,0.167422075915726,0.159865986960242,0.368816651676731
286,0.987063810915674,0.168599910326611,0.16103980621136,0.370101503276372
